               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046359,            0.026023,            0.036445,             0.26654,             0.28719,             0.17279,              0.1262,            0.013513,           0.0086838,            0.019155,            0.070385,           0.0032906,           0.0032906
                   1,            0.030532,            0.016129,             0.03461,             0.26797,             0.28776,             0.17181,            0.084799,            0.012716,            0.004814,            0.018096,            0.039729,           0.0059682,           0.0059682
                   2,            0.024827,            0.012358,            0.032498,             0.34635,             0.46088,             0.24904,             0.16216,            0.011413,           0.0032981,            0.017985,           0.0084131,           0.0079857,           0.0079857
                   3,            0.021833,            0.010299,            0.031896,             0.29244,             0.40425,             0.26926,             0.20757,            0.010218,           0.0025925,            0.016956,             0.00703,             0.00703,             0.00703
                   4,            0.018778,           0.0090463,            0.029682,             0.38211,             0.53426,             0.37265,              0.3528,            0.012595,           0.0028329,            0.017442,             0.00703,             0.00703,             0.00703
                   5,            0.015293,            0.008691,            0.029513,             0.33466,             0.50615,             0.33017,              0.3009,           0.0079382,           0.0031986,            0.015948,             0.00604,             0.00604,             0.00604
                   6,            0.012964,           0.0075684,            0.027724,             0.41772,             0.45118,             0.40488,             0.38391,           0.0050731,           0.0020975,            0.016959,             0.00505,             0.00505,             0.00505
                   7,            0.011971,           0.0071969,            0.028042,             0.39361,             0.50725,             0.36888,             0.32317,           0.0045036,           0.0016801,             0.01619,             0.00406,             0.00406,             0.00406
                   8,           0.0095843,           0.0065314,            0.024936,             0.48672,             0.54375,             0.46842,             0.43445,           0.0035185,           0.0016339,            0.014864,             0.00307,             0.00307,             0.00307
                   9,           0.0082338,           0.0061699,            0.024357,             0.42166,             0.59779,             0.48373,             0.41229,            0.003912,           0.0016279,            0.014633,             0.00208,             0.00208,             0.00208
